public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,title,cause,company,company_linkedin_profile_url,description,logo_url
"mauricedawson","1","2","2021",,,,"Mentor","SCIENCE_AND_TECHNOLOGY","Women in Cybersecurity (WiCyS) at Illinois Tech","https://www.linkedin.com/company/wicys-illinoistech/",,"https://media.licdn.com/dms/image/C560BAQEaVQVVX6BJjA/company-logo_400_400/0/1598715412785?e=1692230400&v=beta&t=anRM5rZl1y0FEiG7ImFVe6loAN5SS3TWG7F9cx8A_N0"
"mauricedawson","1","1","2021",,,,"Member","SCIENCE_AND_TECHNOLOGY","Military Cyber Professionals Association","https://www.linkedin.com/company/milcyber/",,"https://media.licdn.com/dms/image/C4E0BAQGEFc-G9l63Rw/company-logo_400_400/0/1523045561633?e=1692230400&v=beta&t=0Vkr5WYssS9vxymWTtqRX9_Mif3YXmU8t34BhjrEFUk"
"mauricedawson","1","10","2021","1","10","2021","Guest Speaker","SCIENCE_AND_TECHNOLOGY","ITSMF - Information Technology Senior Management Forum","https://www.linkedin.com/company/itsmfleaders/","Spoke about the Internet of Things (IoT) and cybersecurity.","https://media.licdn.com/dms/image/C4D0BAQENWCnwjJEeXA/company-logo_400_400/0/1638326726406?e=1692230400&v=beta&t=SrguKF80SdEscigMvTduCF1pakeSCBsiY4RvBdmELAE"
"mauricedawson","1","12","2020",,,,"Professional Inductee","SCIENCE_AND_TECHNOLOGY","GAMMA NU ETA INC","https://www.linkedin.com/company/gamma-nu-eta-inc/",,
"mauricedawson","1","12","2017","1","1","2018","Volunteer","SCIENCE_AND_TECHNOLOGY","Catholic Relief Services","https://www.linkedin.com/company/catholic-relief-services/","December 2017 - January 2018. $5,000.00, Title: Mobile Banking System, Assignment Number: ET103, Location: Addis Ababa, Ethiopia: Volunteer Assignment with Catholic Relief Services/USAID","https://media.licdn.com/dms/image/C4E0BAQG-G51EGBFuxw/company-logo_400_400/0/1585659184392?e=1692230400&v=beta&t=1364yiBmQvB0jpQMyBHFASyuye-COIgGGBjqUOHKGrg"
"mauricedawson","1","1","2017",,,,"Volunteer","SCIENCE_AND_TECHNOLOGY","Winrock International","https://www.linkedin.com/company/winrock-international/","January 2017.   $5,000.00, Title: Training-of-Trainers in Management Accounting Tools for the Horticulture Initiation Center of Saint Louis (CIH SL), Assignment Number: SEN187, Location: Saint-Louis, Senegal: Volunteer Assignment with Winrock Int./USAID","https://media.licdn.com/dms/image/C4D0BAQHtUWTgA-fiEw/company-logo_400_400/0/1637271670388?e=1692230400&v=beta&t=QRA1Fxh1iN_AojLh492jBDrzIx4RqZ6gFYCiJjg4nTg"
"mauricedawson","1","7","2016",,,,"Volunteer","SCIENCE_AND_TECHNOLOGY","Winrock International","https://www.linkedin.com/company/winrock-international/","July 2016, $5,000.00, Title: Assistance to the Office of Vocational Agriculture Education for the Establishment of a Functional Website for the Ministre de l'Agriculture et de l'Equipement Rural, Assignment Number: SEN121, Location: Dakar, Senegal: Volunteer Assignment with Winrock Int./USAID","https://media.licdn.com/dms/image/C4D0BAQHtUWTgA-fiEw/company-logo_400_400/0/1637271670388?e=1692230400&v=beta&t=QRA1Fxh1iN_AojLh492jBDrzIx4RqZ6gFYCiJjg4nTg"
"mauricedawson","1","7","2010","1","7","2010","Mentee","EDUCATION","National Urban League",,"Participated in the 100@100 event which was to bring a 100 doctors to speak to 100 students.",
"mauricedawson","1","1","2012","1","1","2014","Chapter President","SCIENCE_AND_TECHNOLOGY","OWASP® Foundation","https://www.linkedin.com/company/owasp/","Chapter president for Huntsville, AL.","https://media.licdn.com/dms/image/C4D0BAQEdEi67-H41Rg/company-logo_400_400/0/1633702546565?e=1692230400&v=beta&t=n2J3O29lsR7qdOUVkTsa1eUP3OOI_zPzTfMkkFV-Y7U"
"mauricedawson","1","1","2022",,,,"Volunteer","SCIENCE_AND_TECHNOLOGY","Winrock International","https://www.linkedin.com/company/winrock-international/","Serving as a volunteer champion for the Farmer to Farmer (F2F) Diversity Initiative.","https://media.licdn.com/dms/image/C4D0BAQHtUWTgA-fiEw/company-logo_400_400/0/1637271670388?e=1692230400&v=beta&t=QRA1Fxh1iN_AojLh492jBDrzIx4RqZ6gFYCiJjg4nTg"
"mauricedawson","1","2","2021",,,,"Mentor","SCIENCE_AND_TECHNOLOGY","Women in Cybersecurity (WiCyS) at Illinois Tech","https://www.linkedin.com/company/wicys-illinoistech/",,"https://media.licdn.com/dms/image/C560BAQEaVQVVX6BJjA/company-logo_400_400/0/1598715412785?e=1692230400&v=beta&t=anRM5rZl1y0FEiG7ImFVe6loAN5SS3TWG7F9cx8A_N0"
"mauricedawson","1","1","2021",,,,"Member","SCIENCE_AND_TECHNOLOGY","Military Cyber Professionals Association","https://www.linkedin.com/company/milcyber/",,"https://media.licdn.com/dms/image/C4E0BAQGEFc-G9l63Rw/company-logo_400_400/0/1523045561633?e=1692230400&v=beta&t=0Vkr5WYssS9vxymWTtqRX9_Mif3YXmU8t34BhjrEFUk"
"mauricedawson","1","10","2021","1","10","2021","Guest Speaker","SCIENCE_AND_TECHNOLOGY","ITSMF - Information Technology Senior Management Forum","https://www.linkedin.com/company/itsmfleaders/","Spoke about the Internet of Things (IoT) and cybersecurity.","https://media.licdn.com/dms/image/C4D0BAQENWCnwjJEeXA/company-logo_400_400/0/1638326726406?e=1692230400&v=beta&t=SrguKF80SdEscigMvTduCF1pakeSCBsiY4RvBdmELAE"
